numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
91207981,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,DELMAR INTL INC.,DELMAR INTL INC.,UC,1201,C,03-11-12 0:00,03-11-12 0:15,18-09-17 0:00,267,347.49,347.49,only Cargo,1
91208073,JFK,BSB,USA,Brazil,NA_USA_NewYork,SA_Brazil_Others,JFK,GRU,JFK-GRU-BSB,97,CONSOLIDADO,JFK,INTERFREIGHT CO,INTERFREIGHT CO,JJ,8083,P,26-10-12 0:00,26-10-12 0:00,19-09-17 0:00,224,11652199,645.12,Only Pax,1
91208110,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,ORD,MIA,ORD-MIA-VCP,1,CARGA GENERAL,JFK,INTERFREIGHT CO,INTERFREIGHT (CHI),TPR,1,T,07-11-12 0:00,08-11-12 0:00,20-09-17 0:00,227,0,0,Only Pax,1
91208412,MIA,MVD,USA,Uruguay,NA_USA_Florida,SA_Uruguay,MIA,MVD,MIA-MVD,1,CARGA GENERAL,MIA,F.M. AIR INC.,F.M. AIR INC,UC,1107,C,03-11-12 0:00,03-11-12 8:30,21-09-17 0:00,1406,2249.6,4950.7,only Cargo,23
91208423,MIA,GYN,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,GRU,MIA-GRU-GYN,1,CARGA GENERAL,MIA,F.M. AIR INC.,F.M. AIR INC.,JJ,8091,P,02-11-12 0:00,02-11-12 0:00,22-09-17 0:00,195,10328872,2318.3,Standard,5
91208434,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA-GUA,1,CARGA GENERAL,MIA,F.M. AIR INC.,JAS SERVICE INC.,UC,1205,C,02-11-12 0:00,02-11-12 5:30,23-09-17 0:00,309,431.2,431.2,Standard,1
91208445,MIA,MAO,USA,Brazil,NA_USA_Florida,SA_Brazil_MAO,MIA,MAO,MIA-MAO,1,CARGA GENERAL,MIA,F.M. AIR INC.,F.M. AIR INC.,JJ,8077,P,06-11-12 0:00,06-11-12 0:00,24-09-17 0:00,334,0,0,only Cargo,2
91208784,JFK,GDL,USA,Mexico,NA_USA_NewYork,NA_Mexico_GDL,JFK,MIA,JFK-MIA-MEX-GDL,97,CONSOLIDADO,JFK,UTI UNITED STATES INC,UTI UNITED STATES INC,TAN,1,T,27-10-12 0:00,28-10-12 3:00,25-09-17 0:00,341,3349495,418.03,only Cargo,1
91208821,JFK,COR,USA,Argentina,NA_USA_NewYork,SA_Argentina_COR,JFK,GYE,JFK-GYE-LIM-COR,97,CONSOLIDADO,JFK,UTI UNITED STATES INC,UTI UNITED STATES INC,XL,539,P,31-10-12 0:00,01-11-12 2:41,26-09-17 0:00,135,3907442,4528220.4,Only Pax,2
91208843,JFK,VCP,USA,Brazil,NA_USA_NewYork,SA_Brazil_VCP,JFK,MIA,JFK-MIA-VCP,97,CONSOLIDADO,JFK,UTI UNITED STATES INC,UTI UNITED STATES INC,TAN,1,T,02-11-12 0:00,03-11-12 3:00,27-09-17 0:00,135,1155.03,2006.44,only Cargo,8
